NO,Result,Reason
AB_3141,Yes,Study data or materials available at URL
AB_3142,Yes,Study data or materials available at URL
AB_3143,Yes,Study data or materials available at URL
AB_3144,Yes,Study data or materials available at URL
AB_3145,Yes,Study data or materials available at URL
AB_3146,Yes,Study data or materials available at URL
AB_3147,No URL found,No explicit http/https URL found
AB_3148,Yes,Study data or materials available at URL
AB_3149,Yes,Study data or materials available at URL
AB_3150,Yes,Study data or materials available at URL
