NO,Result,Reason
AB_1151,Yes,URL plausibly provides research-related outputs
AB_1152,Yes,URL plausibly provides research-related outputs
AB_1153,Yes,URL plausibly provides research-related outputs
AB_1154,Yes,"Study data, code, or materials indicated at URL"
AB_1155,Yes,"Study data, code, or materials indicated at URL"
AB_1156,Yes,"Study data, code, or materials indicated at URL"
AB_1157,Yes,"Study data, code, or materials indicated at URL"
AB_1158,Yes,"Study data, code, or materials indicated at URL"
AB_1159,Yes,"Study data, code, or materials indicated at URL"
AB_1160,Yes,"Study data, code, or materials indicated at URL"
