NO,Result,Reason
AB_2721,Yes,"Study data, code, or resources available at repository or project URL"
AB_2722,Yes,"Study data, code, or resources available at repository or project URL"
AB_2723,Yes,"Study data, code, or resources available at repository or project URL"
AB_2724,Yes,"Study data, code, or resources available at repository or project URL"
AB_2725,Yes,"Study data, code, or resources available at repository or project URL"
AB_2726,Yes,"Study data, code, or resources available at repository or project URL"
AB_2727,Yes,"Study data, code, or resources available at repository or project URL"
AB_2728,Yes,"Study data, code, or resources available at repository or project URL"
AB_2729,Yes,"Study data, code, or resources available at repository or project URL"
AB_2730,Yes,"Study data, code, or resources available at repository or project URL"
