NO,Result,Reason
AB_2001,Yes,Study-related resources indicated via URL
AB_2002,Yes,Study-related resources indicated via URL
AB_2003,Yes,Study-related resources indicated via URL
AB_2004,Yes,Study-related resources indicated via URL
AB_2005,Yes,Study-related resources indicated via URL
AB_2006,Yes,Study-related resources indicated via URL
AB_2007,Yes,Study-related resources indicated via URL
AB_2008,Yes,Study-related resources indicated via URL
AB_2009,Yes,Study-related resources indicated via URL
AB_2010,Yes,Study-related resources indicated via URL
