NO,Result,Reason
AB_1601,Yes,Study code available at GitHub repository URL
AB_1602,Yes,Study code available at GitHub repository URL
AB_1603,Yes,Study-related resources available at URL
AB_1604,No,"URL explicitly refers to registration record, not study outputs"
AB_1605,Yes,Study code available at GitHub repository URL
AB_1606,No,"URL explicitly refers to registration record, not study outputs"
AB_1607,No,"URL explicitly refers to registration record, not study outputs"
AB_1608,Yes,Study dataset available via DOI repository URL
AB_1609,Yes,Study code available at GitHub repository URL
AB_1610,Yes,Study code available at GitHub repository URL
