NO,Result,Reason
AB_0571,Yes,Study data or materials available at repository URL
AB_0572,Yes,Study data or materials available at repository URL
AB_0573,Yes,Study data or materials available at repository URL
AB_0574,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0575,Yes,Study data or materials available at repository URL
AB_0576,Yes,Study data or materials available at repository URL
AB_0577,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0578,Yes,Study data or materials available at repository URL
AB_0579,Yes,Study data or materials available at repository URL
AB_0580,Yes,Study data or materials available at repository URL
