NO,Result,Reason
AB_1961,Yes,Study-related resources indicated via URL
AB_1962,Yes,Study-related resources indicated via URL
AB_1963,Yes,Study-related resources indicated via URL
AB_1964,Yes,Study-related resources indicated via URL
AB_1965,Yes,Study-related resources indicated via URL
AB_1966,Yes,Study-related resources indicated via URL
AB_1967,Yes,Study-related resources indicated via URL
AB_1968,Yes,Study-related resources indicated via URL
AB_1969,Yes,Study-related resources indicated via URL
AB_1970,Yes,Study-related resources indicated via URL
