NO,Result,Reason
AB_3781,Yes,Study data or materials available at URL
AB_3782,Yes,Study data or materials available at URL
AB_3783,Yes,Study data or materials available at URL
AB_3784,Yes,Study data or materials available at URL
AB_3785,Yes,Study data or materials available at URL
AB_3786,Yes,Study data or materials available at URL
AB_3787,Yes,Study data or materials available at URL
AB_3788,Yes,Study data or materials available at URL
AB_3789,Yes,Study data or materials available at URL
AB_3790,Yes,Study data or materials available at URL
