NO,Result,Reason
AB_1111,Yes,"Study data, code, or materials indicated at URL"
AB_1112,Yes,"Study data, code, or materials indicated at URL"
AB_1113,Yes,"Study data, code, or materials indicated at URL"
AB_1114,Yes,"Study data, code, or materials indicated at URL"
AB_1115,Yes,"Study data, code, or materials indicated at URL"
AB_1116,Yes,"Study data, code, or materials indicated at URL"
AB_1117,Yes,"Study data, code, or materials indicated at URL"
AB_1118,Yes,URL plausibly provides research-related outputs
AB_1119,Yes,"Study data, code, or materials indicated at URL"
AB_1120,Yes,URL plausibly provides research-related outputs
