NO,Result,Reason
AB_2951,Yes,"Study data, code, or resources available at repository or project URL"
AB_2952,Yes,"Study data, code, or resources available at repository or project URL"
AB_2953,Yes,"Study data, code, or resources available at repository or project URL"
AB_2954,Yes,"Study data, code, or resources available at repository or project URL"
AB_2955,Yes,"Study data, code, or resources available at repository or project URL"
AB_2956,Yes,"Study data, code, or resources available at repository or project URL"
AB_2957,Yes,"Study data, code, or resources available at repository or project URL"
AB_2958,Yes,"Study data, code, or resources available at repository or project URL"
AB_2959,Yes,"Study data, code, or resources available at repository or project URL"
AB_2960,Yes,"Study data, code, or resources available at repository or project URL"
