NO,Result,Reason
AB_2741,Yes,"Study data, code, or resources available at repository or project URL"
AB_2742,Yes,"Study data, code, or resources available at repository or project URL"
AB_2743,Yes,"Study data, code, or resources available at repository or project URL"
AB_2744,Yes,"Study data, code, or resources available at repository or project URL"
AB_2745,Yes,"Study data, code, or resources available at repository or project URL"
AB_2746,Yes,"Study data, code, or resources available at repository or project URL"
AB_2747,Yes,"Study data, code, or resources available at repository or project URL"
AB_2748,Yes,"Study data, code, or resources available at repository or project URL"
AB_2749,Yes,"Study data, code, or resources available at repository or project URL"
AB_2750,Yes,"Study data, code, or resources available at repository or project URL"
