NO,Result,Reason
AB_0461,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0462,Yes,Study data or materials available at repository URL
AB_0463,Yes,Study data or materials available at repository URL
AB_0464,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0465,Yes,Study data or materials available at repository URL
AB_0466,Yes,Study data or materials available at repository URL
AB_0467,Yes,Study data or materials available at repository URL
AB_0468,No,URL explicitly refers to non-output resource or no indication of study outputs
AB_0469,Yes,Study data or materials available at repository URL
AB_0470,Yes,Study data or materials available at repository URL
