NO,Result,Reason
AB_2201,Yes,"Study data, code, or materials indicated at URL"
AB_2202,No,URL explicitly refers to third-party or non-output resource
AB_2203,No,URL explicitly refers to third-party or non-output resource
AB_2204,No,URL explicitly refers to third-party or non-output resource
AB_2205,No,URL explicitly refers to third-party or non-output resource
AB_2206,Yes,"Study data, code, or materials indicated at URL"
AB_2207,No,URL explicitly refers to third-party or non-output resource
AB_2208,Yes,"Study data, code, or materials indicated at URL"
AB_2209,Yes,"Study data, code, or materials indicated at URL"
AB_2210,Yes,"Study data, code, or materials indicated at URL"
