NO,Result,Reason
AB_0391,Yes,Study data or materials available at repository URL
AB_0392,Yes,Study data or materials available at repository URL
AB_0393,Yes,Study data or materials available at repository URL
AB_0394,Yes,Study data or materials available at repository URL
AB_0395,Yes,Study data or materials available at repository URL
AB_0396,Yes,Study data or materials available at repository URL
AB_0397,Yes,Study data or materials available at repository URL
AB_0398,Yes,Study data or materials available at repository URL
AB_0399,Yes,Study data or materials available at repository URL
AB_0400,Yes,Study data or materials available at repository URL
