NO,Result,Reason
AB_3311,Yes,Study data or materials available at URL
AB_3312,Yes,Study data or materials available at URL
AB_3313,Yes,Study data or materials available at URL
AB_3314,Yes,Study data or materials available at URL
AB_3315,Yes,Study data or materials available at URL
AB_3316,Yes,Study data or materials available at URL
AB_3317,Yes,Study data or materials available at URL
AB_3318,No URL found,No explicit http/https URL found
AB_3319,Yes,Study data or materials available at URL
AB_3320,Yes,Study data or materials available at URL
