NO,Result,Reason
AB_1511,Yes,Study code available at GitHub repository URL
AB_1512,Yes,Study dataset available via Zenodo DOI repository URL
AB_1513,Yes,Study-generated web resource provided for multiomic data visualization
AB_1514,Yes,Study code available at GitHub repository URL
AB_1515,Yes,Study code available at GitHub repository URL
AB_1516,Yes,Study code available at GitHub repository URL
AB_1517,Yes,Study code available at GitHub repository URL
AB_1518,Yes,Study code available at GitHub repository URL
AB_1519,Yes,Study data and code released at GitHub repository URL
AB_1520,No,"URL explicitly refers to clinical trial registration, not study outputs"
