NO,Result,Reason
AB_1411,Yes,"Study data, code, or materials indicated at URL"
AB_1412,Yes,"Study data, code, or materials indicated at URL"
AB_1413,Yes,"Study data, code, or materials indicated at URL"
AB_1414,Yes,"Study data, code, or materials indicated at URL"
AB_1415,Yes,"Study data, code, or materials indicated at URL"
AB_1416,Yes,"Study data, code, or materials indicated at URL"
AB_1417,Yes,URL plausibly provides research-related outputs
AB_1418,Yes,"Study data, code, or materials indicated at URL"
AB_1419,Yes,"Study data, code, or materials indicated at URL"
AB_1420,Yes,"Study data, code, or materials indicated at URL"
