NO,Result,Reason
AB_1851,Yes,Study code available at GitHub repository URL
AB_1852,No,"URL explicitly refers to registration record, not study outputs"
AB_1853,Yes,Study code available at GitHub repository URL
AB_1854,Yes,Study-related resources available at URL
AB_1855,Yes,Study code available at GitHub repository URL
AB_1856,Yes,Study code available at GitHub repository URL
AB_1857,Yes,Study code available at GitHub repository URL
AB_1858,Yes,Study code available at GitHub repository URL
AB_1859,Yes,Study code available at GitHub repository URL
AB_1860,Yes,Study-related resources available at URL
