NO,Result,Reason
AB_2351,Yes,"Study data, code, or resources available at repository or project URL"
AB_2352,Yes,"Study data, code, or resources available at repository or project URL"
AB_2353,No URL found,No explicit http/https URL found
AB_2354,Yes,"Study data, code, or resources available at repository or project URL"
AB_2355,Yes,"Study data, code, or resources available at repository or project URL"
AB_2356,Yes,"Study data, code, or resources available at repository or project URL"
AB_2357,Yes,"Study data, code, or resources available at repository or project URL"
AB_2358,Yes,"Study data, code, or resources available at repository or project URL"
AB_2359,Yes,"Study data, code, or resources available at repository or project URL"
AB_2360,Yes,"Study data, code, or resources available at repository or project URL"
