NO,Result,Reason
AB_0011,Yes,Study code or data available at repository URL
AB_0012,Yes,Study code or data available at repository URL
AB_0013,Yes,Study code or data available at repository URL
AB_0014,Yes,Study code or data available at repository URL
AB_0015,Yes,Study code or data available at repository URL
AB_0016,Yes,Study code or data available at repository URL
AB_0017,Yes,Study code or data available at repository URL
AB_0018,Yes,Study code or data available at repository URL
AB_0019,Yes,Study code or data available at repository URL
AB_0020,Yes,Study code or data available at repository URL
