NO,Result,Reason
AB_1021,Yes,"Study data, code, or materials indicated at URL"
AB_1022,Yes,"Study data, code, or materials indicated at URL"
AB_1023,No URL found,No explicit http/https URL found
AB_1024,Yes,"Study data, code, or materials indicated at URL"
AB_1025,Yes,"Study data, code, or materials indicated at URL"
AB_1026,Yes,"Study data, code, or materials indicated at URL"
AB_1027,Yes,"Study data, code, or materials indicated at URL"
AB_1028,Yes,URL plausibly provides research-related outputs
AB_1029,Yes,"Study data, code, or materials indicated at URL"
AB_1030,Yes,"Study data, code, or materials indicated at URL"
