NO,Result,Reason
AB_2611,Yes,"Study data, code, or resources available at repository or project URL"
AB_2612,Yes,"Study data, code, or resources available at repository or project URL"
AB_2613,Yes,"Study data, code, or resources available at repository or project URL"
AB_2614,Yes,"Study data, code, or resources available at repository or project URL"
AB_2615,Yes,"Study data, code, or resources available at repository or project URL"
AB_2616,Yes,"Study data, code, or resources available at repository or project URL"
AB_2617,Yes,"Study data, code, or resources available at repository or project URL"
AB_2618,Yes,"Study data, code, or resources available at repository or project URL"
AB_2619,Yes,"Study data, code, or resources available at repository or project URL"
AB_2620,Yes,"Study data, code, or resources available at repository or project URL"
