NO,Result,Reason
AB_1251,Yes,"Study data, code, or materials indicated at URL"
AB_1252,Yes,"Study data, code, or materials indicated at URL"
AB_1253,Yes,"Study data, code, or materials indicated at URL"
AB_1254,Yes,"Study data, code, or materials indicated at URL"
AB_1255,Yes,URL plausibly provides research-related outputs
AB_1256,Yes,"Study data, code, or materials indicated at URL"
AB_1257,Yes,"Study data, code, or materials indicated at URL"
AB_1258,Yes,"Study data, code, or materials indicated at URL"
AB_1259,Yes,"Study data, code, or materials indicated at URL"
AB_1260,Yes,"Study data, code, or materials indicated at URL"
