NO,Result,Reason
AB_1231,Yes,"Study data, code, or materials indicated at URL"
AB_1232,Yes,"Study data, code, or materials indicated at URL"
AB_1233,Yes,"Study data, code, or materials indicated at URL"
AB_1234,Yes,"Study data, code, or materials indicated at URL"
AB_1235,Yes,"Study data, code, or materials indicated at URL"
AB_1236,Yes,"Study data, code, or materials indicated at URL"
AB_1237,Yes,"Study data, code, or materials indicated at URL"
AB_1238,Yes,"Study data, code, or materials indicated at URL"
AB_1239,Yes,"Study data, code, or materials indicated at URL"
AB_1240,Yes,"Study data, code, or materials indicated at URL"
