NO,Result,Reason
AB_2691,Yes,"Study data, code, or resources available at repository or project URL"
AB_2692,Yes,"Study data, code, or resources available at repository or project URL"
AB_2693,Yes,"Study data, code, or resources available at repository or project URL"
AB_2694,Yes,"Study data, code, or resources available at repository or project URL"
AB_2695,Yes,"Study data, code, or resources available at repository or project URL"
AB_2696,Yes,"Study data, code, or resources available at repository or project URL"
AB_2697,Yes,"Study data, code, or resources available at repository or project URL"
AB_2698,Yes,"Study data, code, or resources available at repository or project URL"
AB_2699,Yes,"Study data, code, or resources available at repository or project URL"
AB_2700,Yes,"Study data, code, or resources available at repository or project URL"
