NO,Result,Reason
AB_1491,No URL found,No explicit http/https URL found
AB_1492,Yes,Study dataset and code available at GitHub repository URL
AB_1493,Yes,Study code freely available at GitHub repository URL
AB_1494,Yes,Study data and code accessible at GitHub repository URL
AB_1495,Yes,Study dataset available at GitHub repository URL
AB_1496,No,URL explicitly refers to clinical trial registration not study outputs
AB_1497,No URL found,No explicit http/https URL found
AB_1498,Yes,Study code publicly available at GitHub repository URL
AB_1499,Yes,Study code publicly available at GitHub repository URL
AB_1500,Yes,Study data publicly accessible via DOI-linked Figshare repository
