NO,Result,Reason
AB_0871,Yes,Research-related materials plausibly available at URL
AB_0872,Yes,Study data or code available at repository URL
AB_0873,Yes,Study data or code available at repository URL
AB_0874,Yes,Study data or code available at URL
AB_0875,Yes,Study data or code available at repository URL
AB_0876,Yes,Study data or code available at URL
AB_0877,Yes,Study data or code available at URL
AB_0878,Yes,Research-related materials plausibly available at URL
AB_0879,Yes,Study data or code available at repository URL
AB_0880,Yes,Study data or code available at URL
