NO,Result,Reason
AB_3511,Yes,Study data or materials available at URL
AB_3512,Yes,Study data or materials available at URL
AB_3513,Yes,Study data or materials available at URL
AB_3514,Yes,Study data or materials available at URL
AB_3515,Yes,Study data or materials available at URL
AB_3516,Yes,Study data or materials available at URL
AB_3517,Yes,Study data or materials available at URL
AB_3518,Yes,Study data or materials available at URL
AB_3519,Yes,Study data or materials available at URL
AB_3520,Yes,Study data or materials available at URL
