NO,Result,Reason
AB_3091,Yes,Study data or materials available at URL
AB_3092,Yes,Study data or materials available at URL
AB_3093,Yes,Study data or materials available at URL
AB_3094,Yes,Study data or materials available at URL
AB_3095,No URL found,No explicit http/https URL found
AB_3096,No URL found,No explicit http/https URL found
AB_3097,Yes,Study data or materials available at URL
AB_3098,No,URL present but no research outputs indicated
AB_3099,Yes,Study data or materials available at URL
AB_3100,Yes,Study data or materials available at URL
