NO,Result,Reason
AB_3211,Yes,Study data or materials available at URL
AB_3212,Yes,Study data or materials available at URL
AB_3213,Yes,Study data or materials available at URL
AB_3214,Yes,Study data or materials available at URL
AB_3215,Yes,Study data or materials available at URL
AB_3216,Yes,Study data or materials available at URL
AB_3217,Yes,Study data or materials available at URL
AB_3218,Yes,Study data or materials available at URL
AB_3219,Yes,Study data or materials available at URL
AB_3220,Yes,Study data or materials available at URL
