NO,Result,Reason
AB_2871,Yes,"Study data, code, or resources available at repository or project URL"
AB_2872,No URL found,No explicit http/https URL found
AB_2873,Yes,"Study data, code, or resources available at repository or project URL"
AB_2874,Yes,"Study data, code, or resources available at repository or project URL"
AB_2875,Yes,"Study data, code, or resources available at repository or project URL"
AB_2876,Yes,"Study data, code, or resources available at repository or project URL"
AB_2877,Yes,"Study data, code, or resources available at repository or project URL"
AB_2878,Yes,"Study data, code, or resources available at repository or project URL"
AB_2879,Yes,"Study data, code, or resources available at repository or project URL"
AB_2880,Yes,"Study data, code, or resources available at repository or project URL"
