NO,Result,Reason
AB_3611,Yes,Study data or materials available at URL
AB_3612,Yes,Study data or materials available at URL
AB_3613,Yes,Study data or materials available at URL
AB_3614,Yes,Study data or materials available at URL
AB_3615,Yes,Study data or materials available at URL
AB_3616,Yes,URL plausibly provides research-related outputs
AB_3617,Yes,Study data or materials available at URL
AB_3618,Yes,Study data or materials available at URL
AB_3619,Yes,Study data or materials available at URL
AB_3620,Yes,Study data or materials available at URL
