NO,Result,Reason
AB_3151,Yes,Study data or materials available at URL
AB_3152,Yes,Study data or materials available at URL
AB_3153,Yes,Study data or materials available at URL
AB_3154,Yes,Study data or materials available at URL
AB_3155,Yes,Study data or materials available at URL
AB_3156,Yes,Study data or materials available at URL
AB_3157,Yes,Study data or materials available at URL
AB_3158,Yes,Study data or materials available at URL
AB_3159,Yes,Study data or materials available at URL
AB_3160,Yes,Study data or materials available at URL
