NO,Result,Reason
AB_2471,Yes,"Study data, code, or resources available at repository or project URL"
AB_2472,Yes,"Study data, code, or resources available at repository or project URL"
AB_2473,No URL found,No explicit http/https URL found
AB_2474,Yes,"Study data, code, or resources available at repository or project URL"
AB_2475,Yes,"Study data, code, or resources available at repository or project URL"
AB_2476,Yes,"Study data, code, or resources available at repository or project URL"
AB_2477,Yes,"Study data, code, or resources available at repository or project URL"
AB_2478,Yes,"Study data, code, or resources available at repository or project URL"
AB_2479,Yes,"Study data, code, or resources available at repository or project URL"
AB_2480,Yes,"Study data, code, or resources available at repository or project URL"
