NO,Result,Reason
AB_1431,Yes,"Study data, code, or materials indicated at URL"
AB_1432,Yes,"Study data, code, or materials indicated at URL"
AB_1433,No,"DOI URL appears to refer only to the article, not study outputs"
AB_1434,Yes,"Study data, code, or materials indicated at URL"
AB_1435,Yes,"Study data, code, or materials indicated at URL"
AB_1436,Yes,"Study data, code, or materials indicated at URL"
AB_1437,Yes,"Study data, code, or materials indicated at URL"
AB_1438,Yes,"Study data, code, or materials indicated at URL"
AB_1439,Yes,"Study data, code, or materials indicated at URL"
AB_1440,Yes,"Study data, code, or materials indicated at URL"
