NO,Result,Reason
AB_1901,Yes,Study-related resources indicated via URL
AB_1902,No URL found,No explicit http/https URL found
AB_1903,Yes,Study-related resources indicated via URL
AB_1904,Yes,Study-related resources indicated via URL
AB_1905,Yes,Study-related resources indicated via URL
AB_1906,Yes,Study-related resources indicated via URL
AB_1907,Yes,Study-related resources indicated via URL
AB_1908,Yes,Study-related resources indicated via URL
AB_1909,Yes,Study-related resources indicated via URL
AB_1910,Yes,Study-related resources indicated via URL
