NO,Result,Reason
AB_2011,Yes,Study-related resources indicated via URL
AB_2012,Yes,Study-related resources indicated via URL
AB_2013,Yes,Study-related resources indicated via URL
AB_2014,Yes,Study-related resources indicated via URL
AB_2015,Yes,Study-related resources indicated via URL
AB_2016,Yes,Study-related resources indicated via URL
AB_2017,Yes,Study-related resources indicated via URL
AB_2018,Yes,Study-related resources indicated via URL
AB_2019,Yes,Study-related resources indicated via URL
AB_2020,Yes,Study-related resources indicated via URL
