NO,Result,Reason
AB_2111,Yes,Study-related resources indicated via URL
AB_2112,Yes,Study-related resources indicated via URL
AB_2113,Yes,Study-related resources indicated via URL
AB_2114,Yes,Study-related resources indicated via URL
AB_2115,Yes,Study-related resources indicated via URL
AB_2116,Yes,Study-related resources indicated via URL
AB_2117,Yes,Study-related resources indicated via URL
AB_2118,Yes,Study-related resources indicated via URL
AB_2119,Yes,Study-related resources indicated via URL
AB_2120,Yes,Study-related resources indicated via URL
