NO,Result,Reason
AB_0711,Yes,Study data or code available at URL
AB_0712,Yes,Research-related materials plausibly available at URL
AB_0713,Yes,Study data or code available at URL
AB_0714,Yes,Study data or code available at repository URL
AB_0715,Yes,Study data or code available at URL
AB_0716,Yes,Study data or code available at URL
AB_0717,Yes,Research-related materials plausibly available at URL
AB_0718,Yes,Research-related materials plausibly available at URL
AB_0719,Yes,Study data or code available at URL
AB_0720,Yes,Research-related materials plausibly available at URL
