NO,Result,Reason
AB_0631,Yes,Research-related materials plausibly available at URL
AB_0632,Yes,Study data or code available at URL
AB_0633,Yes,Study data or code available at URL
AB_0634,Yes,Research-related materials plausibly available at URL
AB_0635,Yes,Study data or code available at repository URL
AB_0636,Yes,Study data or code available at repository URL
AB_0637,Yes,Research-related materials plausibly available at URL
AB_0638,Yes,Study data or code available at URL
AB_0639,Yes,Study data or code available at URL
AB_0640,Yes,Study data or code available at URL
