NO,Result,Reason
AB_3791,Yes,Study data or materials available at URL
AB_3792,Yes,Study data or materials available at URL
AB_3793,Yes,Study data or materials available at URL
AB_3794,Yes,Study data or materials available at URL
AB_3795,Yes,Study data or materials available at URL
AB_3796,Yes,Study data or materials available at URL
AB_3797,Yes,Study data or materials available at URL
AB_3798,Yes,Study data or materials available at URL
AB_3799,Yes,Study data or materials available at URL
AB_3800,Yes,Study data or materials available at URL
