NO,Result,Reason
AB_0381,Yes,Study data or materials available at repository URL
AB_0382,Yes,Study data or materials available at repository URL
AB_0383,Yes,Study data or materials available at repository URL
AB_0384,Yes,Study data or materials available at repository URL
AB_0385,No URL found,No explicit http/https URL found
AB_0386,Yes,Study data or materials available at repository URL
AB_0387,Yes,Study data or materials available at repository URL
AB_0388,Yes,Study data or materials available at repository URL
AB_0389,Yes,Study data or materials available at repository URL
AB_0390,Yes,Study data or materials available at repository URL
