NO,Result,Reason
AB_0601,No URL found,Malformed URL (space after https://)
AB_0602,Yes,Study code available at repository URL
AB_0603,No URL found,Malformed URL (space after https://)
AB_0604,No URL found,No explicit http/https URL found
AB_0605,No URL found,No explicit http/https URL found
AB_0606,No URL found,No explicit http/https URL found
AB_0607,No URL found,No explicit http/https URL found
AB_0608,No URL found,No explicit http/https URL found
AB_0609,Yes,Study scripts available at repository URL
AB_0610,Yes,Study code available at repository URL
