NO,Result,Reason
AB_2151,Yes,Study-related resources indicated via URL
AB_2152,Yes,Study-related resources indicated via URL
AB_2153,Yes,Study-related resources indicated via URL
AB_2154,Yes,Study-related resources indicated via URL
AB_2155,Yes,Study-related resources indicated via URL
AB_2156,Yes,Study-related resources indicated via URL
AB_2157,Yes,Study-related resources indicated via URL
AB_2158,Yes,Study-related resources indicated via URL
AB_2159,Yes,Study-related resources indicated via URL
AB_2160,Yes,Study-related resources indicated via URL
