NO,Result,Reason
AB_2391,Yes,"Study data, code, or resources available at repository or project URL"
AB_2392,Yes,"Study data, code, or resources available at repository or project URL"
AB_2393,Yes,"Study data, code, or resources available at repository or project URL"
AB_2394,Yes,"Study data, code, or resources available at repository or project URL"
AB_2395,Yes,"Study data, code, or resources available at repository or project URL"
AB_2396,Yes,"Study data, code, or resources available at repository or project URL"
AB_2397,Yes,"Study data, code, or resources available at repository or project URL"
AB_2398,Yes,"Study data, code, or resources available at repository or project URL"
AB_2399,No URL found,No explicit http/https URL found
AB_2400,Yes,"Study data, code, or resources available at repository or project URL"
